Year,"Bicycles Sold (Millions) 20"" +
 wheels","Bicycles Sold (Millions), all wheel sizes"
2015,12.5*,17.4*
2014,12.4*,18.0*
2013,11.3*,16.2*
2012,13.0*,18.7*
2011,11.0*,15.7*
2010,13.5*,19.8*
2009,10.2*,14.9*
2008,13.4*,18.5*
2007,12.8*,18.2*
2006,12.7*,18.2*
2005,14.0*,19.8*
2004,13.0*,18.3*
2003,12.9*,18.5*
2002,13.6*,19.5*
2001,11.3*,16.7*
2000,11.9*,20.9*
1999,11.6*,17.5*
1998,11.1*,15.8*
1997,11.0*,15.2*
1996,10.9,15.4
1995,12,16.1
1994,12.5,16.7
1993,13,16.8
1992,11.6,15.3
1991,11.6,
1990,10.8,
1989,10.7,
1988,9.9,
1987,12.6,
1986,12.3,
1985,11.4,
1984,10.1,
1983,9,
1982,6.8,
1981,8.9,
