Year,Albania (ALB),Algeria (ALG),Andorra (AND),Antigua and Barbuda (ANT),Argentina (ARG),Armenia (ARM),Aruba (ARU),Australia (AUS),Austria (AUT),Azerbaijan (AZE),Bahamas (BAH),Bahrain (BRN),Barbados (BAR),Belarus (BLR),Belgium (BEL),Belize (BIZ),Benin (BEN),Bermuda (BER),Bohemia (BOH),Bolivia (BOL),Brazil (BRA),British West Indies (BWI),Bulgaria (BUL),Cambodia (CAM),Cameroon (CMR),Canada (CAN),Cayman Islands (CAY),Central African Republic (CAF),Chile (CHI),China (CHN),Chinese Taipei (TPE),Colombia (COL),Costa Rica (CRC),Croatia (CRO),Cuba (CUB),Czech Republic (CZE),Czechoslovakia (TCH),Cyprus (CYP),Denmark (DEN),Dominican Republic (DOM),Democratic Republic of the Congo (COD),East Germany (GDR),Ecuador (ECU),Egypt (EGY),El Salvador (ESA),Eritrea (ERI),Estonia (EST),Ethiopia (ETH),Fiji (FIJ),Finland (FIN),France (FRA),Georgia (GEO),Germany (GER),Great Britain (GBR),Greece (GRE),Guam (GUM),Guatemala (GUA),Guyana (GUY),Hong Kong (HKG),Hungary (HUN),Indonesia (INA),Iran (IRI),Iraq (IRQ),India (IND),Independent Olympic Athletes (IOA),Indonesia (INA),Ireland (IRL),Israel (ISR),Italy (ITA),Jamaica (JAM),Japan (JPN),Kazakhstan (KAZ),Kenya (KEN),Kosovo (KOS),Kyrgyzstan (KGZ),Laos (LAO),Latvia (LAT),Lebanon (LIB),Lesotho (LES),Libya (LBA),Liechtenstein (LIE),Lithuania (LTU),Luxembourg (LUX),Madagascar (MAD),Malawi (MAW),Malaysia (MAS),Malta (MLT),Mauritius (MRI),Mexico (MEX),Moldova (MDA),Monaco (MON),Mongolia (MGL),Morocco (MAR),Namibia (NAM),Netherlands (NED),Nicaragua (NCA),North Korea (PRK),Norway (NOR),New Zealand (NZL),Oman (OMA),Pakistan (PAK),Peru (PER),Philippines (PHI),Poland (POL),Portugal (POR),Puerto Rico (PUR),Republic of China (ROC),Romania (ROU),Russia (RUS),Russian Empire (RU1),Rwanda (RWA),Samoa (SAM),San Marino (SMR),Saudi Arabia (KSA),Serbia (SRB),Serbia and Montenegro (SCG),Sierra Leone (SLE),Slovakia (SVK),Slovenia (SLO),South Africa (RSA),South Korea (KOR),Soviet Union (URS),Spain (ESP),Sri Lanka (SRI),Suriname (SUR),Sweden (SWE),Switzerland (SUI),Syria (SYR),Thailand (THA),East Timor (TLS),Togo (TOG),Trinidad and Tobago (TRI),Tunisia (TUN),Turkey (TUR),Uganda (UGA),Ukraine (UKR),Unified Team (EUN),United Team of Germany (EUA),United Arab Emirates (UAE),United States (USA)
1896,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,3,1,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
1908,,,,,,,,,,,,,,,6,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,23,,9,36,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,,2
1912,,,,,,,,,6,,,,,,1,,,,5,,,,,,,2,,,4,,,,,,,,,,8,,,,,,,,,,,5,12,,11,26,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,10,,,,,,,,,,1,,,,,,12,,,,,,,,,,,,,,9
1920,,,,,,,,2,,,,,,,15,,,,,,,,,,,5,,,,,,,,,,,4,,6,,,,,,,,,,,,13,,,13,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,1,,,,,,,,,,,,10,,,4,,,,,,,,,,,,,,,,,,,,,,5,,,,,,4,,,,,,,,,,,,,,9
1924,,,,,5,,,4,,,,,,,9,,,,,,,,7,,,1,,,3,,,,,,,,8,,6,,,,,3,,,,,,4,11,,,12,,,,,,4,,,,,,,,,10,,,,,,,,4,,,,,2,5,,,,,,,,,,,,10,,,,,,,,,8,,,,,,,,,,,,,,,,1,,,,,,4,9,,,,,,,,,,,,,5
1928,,,,,6,,,2,2,,,,,,8,,,,,,,,,,,6,,,5,,,,,,,,4,,5,,,,,,,,,,,1,8,,10,12,,,,,,,,,,,,,2,,12,,,,,,,,5,,,,,4,4,,,,,,,,,,,,11,,,4,,,,,,11,,,,,,,,,,,,,,,,1,,,1,,,4,9,,,,,,,4,,,,,,4
1932,,,,,,,,1,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,6,,,,,,,,,,,,8,,4,7,,,,,,1,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,12
1936,,,,,,,,3,10,,,,,,8,,,,,,3,,10,,,6,,,4,,,,,,,,4,,11,,,,,,,,,,,2,8,,12,11,,,,,,8,,,,,,,,,11,,,,,,,,4,,,,1,,4,,,,,,,,,,,,11,,,2,1,,,4,,4,,,1,,,,,,,,,,,,,2,,,,,,5,11,,,,,,,4,,,,,,6
