Vehicle Type,Front Number,Front Percent,Right Number,Right Percent,Left Number,Left Percent,Rear Number,Rear Percent,Other/Unknown Number,Other/Unknown Percent,Total Number
Passenger Car,263,88.60%,15,5.10%,3,1.00%,1,0.30%,15,5.10%,297
Light Trucks*,276,82.60%,33,9.90%,9,2.70%,4,1.20%,12,3.60%,334
SUV,105,87.50%,5,4.20%,6,5.00%,2,1.70%,2,1.70%,120
Pickup,134,81.70%,19,11.60%,3,1.80%,2,1.20%,6,3.70%,164
Van,33,73.30%,9,20.00%,-,-,-,-,3,6.70%,45
Other/ Unkown/Light Truck,4,80.00%,-,-,-,-,-,-,1,20.00%,5
Large Truck,41,48.20%,19,22.40%,8,9.40%,6,7.10%,11,12.90%,85
Bus,6,50.00%,3,25.00%,2,16.70%,-,-,1,8.30%,12
Other/ Unknown Vehicle,39,54.20%,4,5.60%,-,-,1,1.40%,28,38.90%,72
Total,625,78.10%,74,9.30%,22,2.80%,12,1.50%,67,8.40%,800
